Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
chapter1_55e07bb3		I've told you what's coming.	game/script.rpy	1324	"[what]"
chapter1_d80f4bfd		Back in the old days, when there was still a chance, your mother gave birth to you as her first and only child.	game/script.rpy	1325	"[what]"
chapter1_10926ee3		She had no idea what to do. She took you up in her arms and ran into the darkness of the forest, promising that she would ask the first man she met to be your godfather.	game/script.rpy	1327	"[what]"
chapter1_167ac34b		In the darkness of the forest, she may or may not have met a man in white.	game/script.rpy	1334	"[what]"
chapter1_45c50df6		(Is anything certain these days?)	game/script.rpy	1335	"[what]"
chapter1_1feb23ba		His right hand held a dove. His other hand held a gun. His other hand held a crisp dollar bill. His other hand held a pillar of fire.	game/script.rpy	1336	"[what]"
chapter1_22374aaa		His suit was perfect. His face was too bright to look upon. He already knew what was on her mind.	game/script.rpy	1337	"[what]"
chapter1_94741e98	miw	Poor woman. Let me be the godfather.	game/script.rpy	1340	miw "[what]"
chapter1_a2752b81	miw	I shall hold this child, and make sure [hes] happy on this Earth for the rest of [his] days.	game/script.rpy	1341	miw "[what]"
firstMan_dfe00425	miw	I will only ask one thing: [He] must work hard, and earn every dollar, and obey me above all else.	game/script.rpy	1347	miw "[what]" nointeract
godYes_48d5fef0	miw	As I have foreseen.	game/script.rpy	1353	miw "[what]"
godYes_626c47fc		He bowed down and placed His great hand upon you, leaving His mark on your right hand.	game/script.rpy	1354	"[what]"
godYes_22adc8da	miw	You will name [him] [povname].	game/script.rpy	1355	miw "[what]"
godYes_15e8b1b1	miw	I will come for the child the moment [he] turn eighteen. Keep [him] safe for me until then.	game/script.rpy	1357	miw "[what]"
godYes_2144befa	miw	I will come for the child the moment [he] turns eighteen. Keep [him] safe for me until then.	game/script.rpy	1359	miw "[what]"
godYes_d59ce897		But He was talking to Himself.	game/script.rpy	1361	"[what]"
godYes_9c80220d		He looked around, holding the child.	game/script.rpy	1362	"[what]"
godYes_eb4df7fc		There was no-one there.	game/script.rpy	1363	"[what]"
godYes_b45eef13		There never was.In your notes, write down that You are the Godchild of the King of Kings.	game/script.rpy	1364	"[what]"
godYes_0ec3798f	mum	Just make sure you're there for the christening.	game/script.rpy	1368	mum "[what]"
godYes_3162b7ae		But He was already gone.In your notes, write down that You are the Godchild of the King of Kings.	game/script.rpy	1372	"[what]"
godYes_ef733c9e	mum	Then I don't want you as the Godfather. You give to the rich, and take from the poor. You are no Lord of mine.	game/script.rpy	1376	mum "[what]"
godYes_54ec4d3b		(She said this foolish thing, with no understanding of how wisely the Lord distributes wealth and poverty.)	game/script.rpy	1377	"[what]"
godYes_d9184f7f		Then she turned away from Him and ran into the forest.	game/script.rpy	1378	"[what]"
godYes_a969500b	miw	I am your dear Lord.	game/script.rpy	1381	miw "[what]"
secondMan1_49cdd6d7		In the deeper darkness of the forest, she may or may not have met a man all in red.	game/script.rpy	1386	"[what]"
secondMan1_b0e5e8ea		(Can we be sure of anything but the greatness of G-d?)	game/script.rpy	1387	"[what]"
secondMan1_941bd86c		All the jewels of the earth fell from His right hand, and all the pleasures of the world fell from His left, and His other hand held all the wonders of the universe, and His other hand held a fat cigar, and His other hand held a long knife black as coal dust, and His other hand held the most intoxicating spices, such that the King of Kings would cry to taste them, and His other hand held a single dead rose, and His other hand was in his pocket and out of view.	game/script.rpy	1388	"[what]"
secondMan1_f38751b9	mir	Poor woman. Let me be the Godfather.	game/script.rpy	1389	mir "[what]"
secondMan1_f739c8cb	mir	I'll make sure the child needs nothing, and wants everything. [He] will live in wealth and comfort for all of [his] days, and devour only the richest meats for every meal.	game/script.rpy	1390	mir "[what]"
secondMan2_2507629f	mir	I only have one condition: [He] must promise to obey no master, and scorn the rule of law, and do as [he] wilt every day of [his] life.	game/script.rpy	1395	mir "[what]" nointeract
secondMan2_5aebfe7f	mum	Very well. Beggars can't be choosers, I suppose.	game/script.rpy	1398	mum "[what]"
secondMan2_fc87549f	mir	Excellent!	game/script.rpy	1399	mir "[what]"
devilYes_ae567744		He let out a great shrieking cackle and placed His mark upon you.	game/script.rpy	1401	"[what]"
devilYes_23d4e6d8	mir	You will name [him] [povname].	game/script.rpy	1402	mir "[what]"
devilYes_8549c713	mir	I will come for the child the moment [he] turn eighteen. Keep [him] safe for me until then.	game/script.rpy	1404	mir "[what]"
devilYes_3b27dcaa	mir	I will come for the child the moment [he] turns eighteen. Keep [him] safe for me until then.	game/script.rpy	1406	mir "[what]"
devilYes_d59ce897		But He was talking to Himself.	game/script.rpy	1408	"[what]"
devilYes_9c80220d		He looked around, holding the child.	game/script.rpy	1409	"[what]"
devilYes_eb4df7fc		There was no-one there.	game/script.rpy	1410	"[what]"
devilYes_2cca7200		There never was.In your notes, write down that You are the Devil's Godchild.	game/script.rpy	1411	"[what]"
devilYes_1a953895	mum	Just make sure you're there for the christening on Sunday.	game/script.rpy	1415	mum "[what]"
devilYes_6e1fabdb		But He was already gone.In your notes, write down that You are the Devil's Godchild.	game/script.rpy	1419	"[what]"
devilYes_7b1aab3f	mum	Then I don't want you as the Godfather. You lie, and cheat, and lead good people astray.	game/script.rpy	1423	mum "[what]"
devilYes_2977bb76		She turned away from him, and raced deeper into the forest.	game/script.rpy	1424	"[what]"
devilYes_ec056025	mir	Why, I am the Devil Himself.	game/script.rpy	1427	mir "[what]"
thirdMan1_e22642e2		In the deepest darkness of the forest, she may or may not have met a handsome woman all in black.	game/script.rpy	1432	"[what]"
thirdMan1_6e242a0a		(What can any of us be certain of, except that the mercies of the Almighty are vaster than the deepest ocean and more numerous than all the pebbles on the land?)	game/script.rpy	1433	"[what]"
thirdMan1_cdd9b922		Her limbs were broken. She had no hands.	game/script.rpy	1434	"[what]"
thirdMan1_506f4703	wib	Poor woman. Let me be the Godmother.	game/script.rpy	1435	wib "[what]"
thirdMan1_3d60a888	wib	The child will have nothing. [He] will need nothing.	game/script.rpy	1436	wib "[what]"
thirdMan2_4fb461a1	wib	[He] need make no promises. I have no demands.	game/script.rpy	1442	wib "[what]" nointeract
thirdMan2_6b7d28b9	mum	You're just the right one. You take rich and poor without distinction.	game/script.rpy	1445	mum "[what]"
thirdMan2_307d657e	wib	You did not have a choice.	game/script.rpy	1446	wib "[what]"
deathYes_558f8670		In one swoop She bowed down and placed Her mark upon you.	game/script.rpy	1448	"[what]"
deathYes_0c6c5d7e	wib	You will name [him] [povname].	game/script.rpy	1449	wib "[what]"
deathYes_81394059	wib	The moment [he] turn eighteen, [he] will be mine.	game/script.rpy	1451	wib "[what]"
deathYes_a5f420c0	wib	The moment [he] turns eighteen, [he] will be mine.	game/script.rpy	1453	wib "[what]"
deathYes_12f25f4b	wib	Keep [him] safe for me until I come for [him]. I will send three messengers before me, to announce my arrival. 	game/script.rpy	1454	wib "[what]"
deathYes_dc1172e8		But She was talking to Herself.	game/script.rpy	1456	"[what]"
deathYes_630706ac		She looked around, holding the child.	game/script.rpy	1457	"[what]"
deathYes_eb4df7fc		There was no-one there.	game/script.rpy	1458	"[what]"
deathYes_00936b23		There never was.In your notes, write down that You are Death's Godchild.	game/script.rpy	1459	"[what]"
deathYes_1a953895	mum	Just make sure you're there for the christening on Sunday.	game/script.rpy	1463	mum "[what]"
deathYes_8ca2f85a		But She was already leaving. She sunk into the earth with Her long, broken legs trailing behind her, until she was swallowed up whole.In your notes, write down that You are Death's Godchild.	game/script.rpy	1467	"[what]"
deathYes_18f1893d	mum	I don't want you as the Godmother. You take men before it is their time.	game/script.rpy	1471	mum "[what]"
deathYes_b806ecbe	wib	There is no-one else left to take [him].	game/script.rpy	1472	wib "[what]"
deathYes_da16cdc7	wib	You must make your choice.	game/script.rpy	1473	wib "[what]"
deathYes_bf0470a0		In desperation, she renounced her foolish pride and sought the protection of the Most High Himself.	game/script.rpy	1480	"[what]"
deathYes_2b04424f		In desperation, she turned back and sought the protection of the deceiver Himself.	game/script.rpy	1483	"[what]"
deathYes_5ad076f1	mum	I'm sorry for my foolish words. Please, protect my child.	game/script.rpy	1486	mum "[what]"
deathYes_14578651	mum	I don't know you.	game/script.rpy	1506	mum "[what]"
deathYes_e14819bb	wib	Everyone knows me.	game/script.rpy	1507	wib "[what]"
deathYes_145b2c23		She tilted her head so that the moonlight fell upon it, and your mother saw that it was true. It was Lady Death herself.	game/script.rpy	1508	"[what]"
chapter2_6044d994		And so you grew up alone in an old cottage on stilts in the forest.	game/script.rpy	1518	"[what]"
chapter2_b045f94d		There were many miraculous things in the house. The table was set. The larder was fully stocked. You had plenty of food to survive on.	game/script.rpy	1520	"[what]"
chapter2_e56ce8ae		Where did it come from? You couldn't recall.	game/script.rpy	1521	"[what]"
chapter2_32c363d2		The closets were filled with clothes of all sizes. In the bedroom was a hand-sewn quilt that fit just right.	game/script.rpy	1522	"[what]"
chapter2_51b2d2ec		There were fourteen pairs of shoes in the hall. Each day you would try a different pair.	game/script.rpy	1523	"[what]"
chapter2_e9c8165c		How did these things come to pass? You didn't trouble yourself with such thoughts. Whenever you encountered these miracles, you simply said:	game/script.rpy	1524	"[what]"
chapter2_97b69347	pov	The House provides.	game/script.rpy	1525	pov "[what]"
chapter2_3dffd2f9		And so you grew up as a kind and well-mannered child, and you made your mother proud.	game/script.rpy	1529	"[what]"
chapter2_144ffdd4		You went to church every Sunday, and worked hard every day of your life, and never did you succumb to the beast within you. All the neighbours smiled and said "That one has the mark of G-d upon [him]."	game/script.rpy	1530	"[what]"
chapter2_1cc42f8f		Your Godfather was as good as His word. He appeared at church for the christening, and blessed you.	game/script.rpy	1531	"[what]"
chapter2_c9523055		You soon found luck was always in your favour, and everyone took to calling you "Fortune's Favourite".	game/script.rpy	1532	"[what]"
chapter2_5baad0da		And so you grew up as a wild and wilful child, and your drove your mother to distraction with your wickedness.	game/script.rpy	1534	"[what]"
chapter2_37fd813c		You obeyed no laws and no masters, and you roamed heedlessly across the hills and dales, cackling wildly and throwing mud in your wake, and all the neighbours said "That one has the Devil's mark upon [him]," and shut their doors.	game/script.rpy	1535	"[what]"
chapter2_6e654b5d		This so grieved your mother that she fell down dead.	game/script.rpy	1537	"[what]"
chapter2_01ceb1bc		In spite of this, you still did not mend your wicked ways. Your ill deeds were rewarded, for you soon found that you could scarcely trip over a stone without unearthing precious diamonds and gems, and you became rich beyond the dreams of avarice.	game/script.rpy	1539	"[what]"
chapter2_4c2ac8a5		And so you grew up as a solemn and quiet child, and you made your mother sick with worry with your gloomy ways.	game/script.rpy	1541	"[what]"
chapter2_653d68ef		You ate very little, and said even less, and every night you would stalk quietly through the forest shadows or sit for long hours watching insects crawl in stagnant ponds, and all the neighbours said "That one has the mark of Death on [him]," and shut their doors.	game/script.rpy	1542	"[what]"
chapter2_aa63c244		You lived with your twelve siblings in a house on stilts on the banks of a muddy river in a vast rainforest.	game/script.rpy	1545	"[what]"
chapter2_118fa042		You lived with your ten siblings in a house on stilts on the banks of a muddy river in a vast rainforest.	game/script.rpy	1547	"[what]"
chapter2_708424a6		You lived with your four siblings in a house on stilts on the banks of a muddy river in a vast rainforest.	game/script.rpy	1549	"[what]"
chapter2_e56fc019		Your mother loved you very much, and you lived with her and your twelve siblings in a house on stilts on the banks of a muddy river in a vast rainforest. Each night you would fall fast asleep under a quilt she knitted for you.	game/script.rpy	1553	"[what]"
chapter2_0def991a		Your mother loved you very much, and you lived with her and your ten siblings in a house on stilts on the banks of a muddy river in a vast rainforest. Each night you would fall fast asleep under a quilt she knitted for you.	game/script.rpy	1555	"[what]"
chapter2_33848a6b		Your mother loved you very much, and you lived with her and your four siblings in a house on stilts on the banks of a muddy river in a vast rainforest. Each night you would fall fast asleep under a quilt she knitted for you.	game/script.rpy	1557	"[what]"
mapOpens_8ffab238		The lands around your house were strange.	game/script.rpy	1590	"[what]"
neighbours_7189d0ed		To the north, there was nothing and no-one.	game/script.rpy	1626	"[what]"
neighbours_26f3d796		Do not ask lightly of the northern forest, my child.	game/script.rpy	1632	"[what]"
neighbours_43364b91		That was a cursed place where wicked sprites and gleeful ghosts held sway. All who lived there slept uneasily in their beds as they heard the Goblin Train rattle past their windows each night.	game/script.rpy	1633	"[what]"
neighbours_9388ac02		The worst of them all was the Master Thief, a dextrous and sinister figure who was said to have all manner of powers.	game/script.rpy	1635	"[what]"
neighbours_1254e93f		It was said that on moonless nights their long, long, long arms would stretch through your window and up your stairs and into your bedroom and steal your dreams right out from under your pillow. In a single motion their long, long, long legs would carry them away to a secret hideout where they would place your forgotten thoughts in a sack of mysterious things, never to be seen again.	game/script.rpy	1636	"[what]"
neighbours_635b5ee1		No jail could hold them and no lock could bar them entry. Or so it was said.	game/script.rpy	1637	"[what]"
neighbours_ab0d41a8		To the east, there was nothing and no-one.	game/script.rpy	1649	"[what]"
neighbours_4873ce8c		To the east, the river flowed down to the coast. The mangrove trees swayed in the summer heat, and the air thrummed with chanting in honour of the insect god, Karnopticon.	game/script.rpy	1656	"[what]"
neighbours_5970f551		On the edge of the swamp was a grand manor, owned by a noble frog lord.	game/script.rpy	1658	"[what]"
neighbours_5c5779f1		He was rarely seen, but people whispered that he was wiser than Solomon and richer than Midas.	game/script.rpy	1659	"[what]"
neighbours_57906e1f		To the south, there was nothing and no-one.	game/script.rpy	1672	"[what]"
neighbours_4e97d10c		Ah! In fact, the south river and the forest around it was watched over by a wise mushroom ambassador, who had owned these lands since before anyone could remember.	game/script.rpy	1679	"[what]"
neighbours_0fda2368		She was often away brokering trade agreements and peace treaties and delicate alliances between the many trees and plants and old warring ferns of the forest.	game/script.rpy	1680	"[what]"
neighbours_e59f0f95		But every now and then, on cold clear nights, you could see her walking through the depths of the forest with her white veil and delicate waves of silver spores drifting behind her.	game/script.rpy	1681	"[what]"
neighbours_f5a121f2		She allowed your family to live on the river and use her lands, under one condition.	game/script.rpy	1682	"[what]"
neighbours_3250871e	m	Ask not of what concerns you not, lest you hear what pleases you not.	game/script.rpy	1683	m "[what]"
neighbours_76287e37		Your family accepted her wishes, and so you let each other be.	game/script.rpy	1684	"[what]"
neighbours_e8954f26		To the west, there was nothing and no-one.	game/script.rpy	1697	"[what]"
neighbours_f28ab257		None dared venture to the western mountains, for all the lands around it were said to be home to a terrible witch.	game/script.rpy	1704	"[what]"
neighbours_0e739aee		People said her hut lay deep under a secret lake, and she would emerge on moonless nights when the waters of that lake turned strange and silver-green.	game/script.rpy	1705	"[what]"
neighbours_d92d6a8f		They said the witches held their Sabbath on the mountain to the east, and when the sky was clear you could see the peak blaze with fire, and the Destroyer himself would emerge to dance in the firelight.	game/script.rpy	1706	"[what]"
introMenu_3ac479fb		Yours was a vast and silent land.	game/script.rpy	1728	"[what]"
introMenu_6b7547c3		At times you could walk for days without seeing another soul.	game/script.rpy	1729	"[what]"
introMenu_4745c2a5		You dared not venture out often. Whenever you did, you felt the pressure of that gigantic emptiness crushing in all around you like a bottomless ocean, and fled quickly back to the safety of your home.	game/script.rpy	1730	"[what]"
introMenu_7c576d42		Yours was a many-haunted land, my child.	game/script.rpy	1732	"[what]"
introMenu_6fab9ed2		Back in those days you could barely take a step without stumbling over a fiend, ghost, bloody bones, flay-boggart, bugaboo or sprite. Every house was haunted and the Devil lurked at every crossroad.	game/script.rpy	1733	"[what]"
introMenu_5018290a		In fact the whole earth was overrun with trolls, hob-and-lanthorns, gringes, cutties and nisses, boguests, bonelesses, boggleboes, black-bugs and night-bats, clabbernappers, corpse lights, candles and Gabriel-hounds, mawkins, hodge-pochers, korreds, lubberkins, cluricauns, hob-thrushes, tod-lowries, Jack-in-the-Wads, men-in-the-oak, dudmen, yeth-hounds, mormos, changelings, redcaps, colt-pixies, Tom-thumbs, madcaps, scrags, specters, scar-bugs, shag-foals, Jinny-burnt-tails, dopple-gangers, and apparitions of every shape, make, form, and fashion.	game/script.rpy	1734	"[what]"
introMenu_0d7d6864		Well, it was a rich house, and you had everything you could ever want.	game/script.rpy	1740	"[what]"
introMenu_48440043		Well, it was a happy house.	game/script.rpy	1742	"[what]"
introMenu_b2dea097		The house was always full of chatter from your ten siblings, and you were always cramped for space with all of them around.	game/script.rpy	1743	"[what]"
introMenu_be73521b		But still, sometimes you would get a hollow feeling inside you, and walk out of the house to stare into the dark woods beyond.	game/script.rpy	1744	"[what]"
introMenu_0891572a		No matter how many people were around you, you felt like something was missing.	game/script.rpy	1745	"[what]"
introMenu_56d0e12a		Every year, on the day before your birthday, the village would throw a great festival for no reason anyone could name. On these nights you always felt sad and strange.	game/script.rpy	1746	"[what]"
introMenu_61b53533		You would avoid the festival and stare deep into the woods all through the night.	game/script.rpy	1747	"[what]"
introMenu_494f26de		Well, it was a happy home. The house was always full of chatter from your four siblings, and you were always cramped for space with all of them around.	game/script.rpy	1750	"[what]"
introMenu_d017aced		But at night, when the others had gone to bed, you felt a great silence lurking in the house.	game/script.rpy	1751	"[what]"
introMenu_270d3ca6		Underneath the old floorboards. Inside the crooked walls.	game/script.rpy	1752	"[what]"
introMenu_3be4f19d		Waiting for it's time to come.	game/script.rpy	1753	"[what]"
introMenu_ab03be07		You lived a contented life. No-one bothered you. The stoop was full of fresh-cut logs for the fireplace. The house had many beds, so that you never lacked for a place to sleep.	game/script.rpy	1758	"[what]"
introMenu_97b69347	pov	The House provides.	game/script.rpy	1759	pov "[what]"
introMenu_7847b71d		You kept yourself busy and distracted as much as you could. But every day there came that terrible time when you finally had to lie down alone in bed.	game/script.rpy	1760	"[what]"
introMenu_c06a4f2d		As you lay awake in bed at night, you felt the silence.	game/script.rpy	1761	"[what]"
introMenu_d2ab7168		It oozed up from between the floorboards and out of the cracks in the walls and slowly poured in from the windows, no matter how much you tried to stop them up.	game/script.rpy	1762	"[what]"
introMenu_8a7300f7		It had nothing to hide now. It had already won.	game/script.rpy	1763	"[what]"
introMenu_48654ab8		Each night the sound of the fire would slowly die until there was nothing left to protect you, and you could do nothing but lie in the endless suffocating abyss of silence until you mercifully fell asleep.	game/script.rpy	1764	"[what]"
introMenu_7b9e4193		Soon you could stand it no longer. You searched the pantry and found a package wrapped up with a coinpurse, along with some bread and meat.	game/script.rpy	1768	"[what]"
introMenu_97b69347_1	pov	The House provides.	game/script.rpy	1769	pov "[what]"
introMenu_577306b7		Alas, all too soon, the eve of your 18th birthday arrived. You set about in wild terror, for you knew that your Godmother would own your immortal soul as as soon as the clock struck midnight.	game/script.rpy	1775	"[what]"
introMenu_86cf8288		You had no doubt that She would soon send Her three messengers for you, and then take you down to the kingdom of ruin forever.	game/script.rpy	1776	"[what]"
introMenu_cce2f568		Alas, all too soon, the eve of your 18th birthday arrived. You set about in wild terror, for you knew that your Godfather would come to take you away as soon as the clock struck midnight, and you had no wish to leave just yet.	game/script.rpy	1778	"[what]"
introMenu_df11a4c9		The closer the hour grew, the more frantic you became. You knew you would soon pay dearly for all your years of wicked indolence.	game/script.rpy	1780	"[what]"
introMenu_751589e4	pov	I know. I'll go to the village festival this eve. There will be travellers there from all over this haunted land. Surely one of them will know how to save me from my terrible fate.	game/script.rpy	1781	pov "[what]"
introMenu_321576eb		You gathered up your coinpurse, along with some bread and meat for the journey, and resolved to travel until you found a way to escape the Devil.	game/script.rpy	1782	"[what]"
introMenu_d94b8514	mum	You must go to the festival tonight, my child. There will be travellers there from all over this wild earth. Surely one of them will know how to save you from this terrible fate.	game/script.rpy	1784	mum "[what]"
introMenu_01a855b5		She gave you a thick coinpurse, and some bread and meat for the journey.	game/script.rpy	1785	"[what]"
introMenu_80bd3e95	mum	Go! But be careful of strangers, and do not leave the path.	game/script.rpy	1786	mum "[what]"
introMenu_87ba52cf	mum	A terrible wolf lurks out there, in the space between the trees.	game/script.rpy	1788	mum "[what]"
introMenu_53f99785		And so you took up your belongings and strode on down the road to the festival.	game/script.rpy	1794	"[what]"
introMenu_a4eb9457		The twilight set in, and the crickets and cicadas all around began their chattering and squabbling, and the evening birds began to laugh and trill, and the wet cool mist of the rainforest settled around you.	game/script.rpy	1795	"[what]"
introMenu_44c54ac0		The crooked old water-dragons looked sideways at you and plotted their long, slow schemes.	game/script.rpy	1796	"[what]"
introMenu_a13d9a30		A small turtle saw you coming and fled into the water with a plop.	game/script.rpy	1797	"[what]"
introMenu_52be5601		As you walked down the road thusly, sweating in the warmth of the summer night, you heard nothing.	game/script.rpy	1807	"[what]"
introMenu_5119f10c		You saw no-one.	game/script.rpy	1808	"[what]"
introMenu_1b6ae7d8		You were alone.	game/script.rpy	1809	"[what]"
introMenu_7e507a6d		You continued on down the empty road.	game/script.rpy	1810	"[what]"
introMenu_55e18cb1		As you walked down the road, you saw the wise mushroom moving through the deep darkness of the trees, her pale spores flowing in a train behind her.	game/script.rpy	1817	"[what]"
introMenu_16f02ffc		You left the path and followed her from a distance.	game/script.rpy	1824	"[what]"
introMenu_9ca04211		She walked into the towering buttress roots of an ancient strangler fig and cut the vines and swamp flowers from it to reveal a small blue door, inlaid with precious moonstone and intricate engravings.	game/script.rpy	1827	"[what]"
introMenu_0c9134fa	m	Gorge, guzzle, gulp and grab; never shall this wound scab.In your notes, write down that you know the password.	game/script.rpy	1832	m "[what]"
introMenu_c1514f47		You quickly snuck inside before the door closed behind you.	game/script.rpy	1842	"[what]"
introMenu_241cf526		Inside you were shocked to find the tree completely hollow. A great cavern was formed inside it, cold as ice despite the heat outside.	game/script.rpy	1845	"[what]"
introMenu_7cad57c0		The floor of the cavern was piled with rubies and pearls and glinting onyx and solid gold pieces, larger than your fist.	game/script.rpy	1846	"[what]"
introMenu_fe6783fc		All across the room you saw lush silks and pillars of precious metals of every type, and riches that would turn the king of kings green with envy.	game/script.rpy	1847	"[what]"
introMenu_783952b9		The glimmering magenta smoke of incense rolled across the room and coated it all in a dark haze, smelling of the most incredible spices and herbs and enchanting odours.	game/script.rpy	1848	"[what]"
introMenu_419bb525	m	Oh darling, what are you doing back again?	game/script.rpy	1849	m "[what]"
introMenu_6d7616b8		The Mushroom popped up, startling you.	game/script.rpy	1850	"[what]"
introMenu_cf9fb1aa	m	I'm sure I remember telling you quite clearly never to darken my door again.	game/script.rpy	1851	m "[what]"
introMenu_a0f58d2c		She looked off to the side.	game/script.rpy	1852	"[what]"
introMenu_4e468d4f	m	Yes, I'm just telling them now. One moment.	game/script.rpy	1853	m "[what]"
introMenu_7e5e60bc	m	Have some common courtesy, darling, please. I don't barge into your house looking wild and dishevelled and try to steal the untold riches of your domain, do I?	game/script.rpy	1854	m "[what]"
introMenu_81136717	m	Not without an invitation, at least.	game/script.rpy	1855	m "[what]"
mushroomWater_f97915a4	m	Out with it, then. What do you want?	game/script.rpy	1860	m "[what]" nointeract
mushroomWater_86acea04	pov	Just some water would be nice, please.	game/script.rpy	1863	pov "[what]"
mushroomWater_9779ddb9	m	Water? Really? How... conventional.	game/script.rpy	1864	m "[what]"
mushroomWater_688fd7f1	m	I have to confess, I thought better of you, darling.	game/script.rpy	1865	m "[what]"
mushroomWater_e41b0490	pov	What's wrong with water?	game/script.rpy	1866	pov "[what]"
mushroomWater_8997755e	m	Oh, nothing, nothing. It's fine. If you're into that sort of thing.	game/script.rpy	1867	m "[what]"
mushroomWater_14df9559	m	It's just a bit... derivative, isn't it? A bit played out.	game/script.rpy	1868	m "[what]"
mushroomWater_305076a1	m	You know, "I'm a big dumb humanoid, I love digesting liquids in order to sustain my bodily functions, dah de dah de dah", etc, etc. Is that really the type of harmful stereotype we want to play into?	game/script.rpy	1869	m "[what]"
mushroomWater_2cd1c21a	m	What are we really trying to say here?	game/script.rpy	1870	m "[what]"
mushroomWater_412bc256	pov	Uh... I can drink something else-	game/script.rpy	1871	pov "[what]"
mushroomWater_bfc74972	m	No no, don't push yourself, it's fine. We can't all be innovators.	game/script.rpy	1872	m "[what]"
mushroomWater_30c8197a	m	I'll go get the water. Please, have a seat and relax.	game/script.rpy	1873	m "[what]"
mushroomWater_a269e671	m	But do not, under any circumstances, go into the basement.	game/script.rpy	1875	m "[what]"
mushroomWater_81efd904		She waved to a small, black door set into the bark of the tree.	game/script.rpy	1876	"[what]"
mushroomWater_0ffea2ef		An ominous glow shone through the crack beneath it. The wood was marked with strange and terrible sigils. You heard a low whispering beyond.	game/script.rpy	1877	"[what]"
mushroomWater_10cf689e	m	Be right back.	game/script.rpy	1879	m "[what]"
mushroomWater_2016bcd3	m	I'm sorry darling, it's been a long day already. I don't have time to explain your body to you.	game/script.rpy	1883	m "[what]"
mushroomWater_77430063	m	Again.	game/script.rpy	1884	m "[what]"
mushroomWater_ce46a653	m	Darling, you're confused, you're babbling, you're all over the place, please, you're a mess. More so than usual, even.	game/script.rpy	1888	m "[what]"
mushroomWater_2227cc3d	m	You were here just a minute ago. The you with the mask and the long legs.	game/script.rpy	1889	m "[what]"
mushroomWater_35a730a4	m	Perhaps you should sit down and take a moment.	game/script.rpy	1890	m "[what]"
mushroomWater_ce7b6a91	m	Can I get you anything? Decaying plant matter? It's all the rage back home.	game/script.rpy	1891	m "[what]"
mushroomWater_8959758e		She looked vaguely around the glittering splendour before you.	game/script.rpy	1896	"[what]"
mushroomWater_acc4423c	m	Oh, this?	game/script.rpy	1897	m "[what]"
mushroomWater_a9672d2f		She dismissed the mountains of jewels with a wave of her hand.	game/script.rpy	1898	"[what]"
mushroomWater_7d06819b	m	I told you. All the wealth of the world falls to us in the end.	game/script.rpy	1899	m "[what]"
mushroomWater_adf832d4	m	Darling, an apology is as good to me as a beard to a turtle-dove.	game/script.rpy	1903	m "[what]"
mushroomWater_b5ae6c40	m	But no, don't worry about it, it's fine, really, completely fine.	game/script.rpy	1904	m "[what]"
basement_8ecd8601		Of course you opened the basement door.	game/script.rpy	1914	"[what]"
basement_0ae9bcd0			game/script.rpy	1918	"[what]"
basement_0e1605c1		Within, you saw a most terrible sight.	game/script.rpy	1922	"[what]"
basement_44516fd2		Seven mushroom corpses hung in the room, dripping black ichor, each being feasted upon by a fat blue-tongued lizard.	game/script.rpy	1923	"[what]"
